,사업장,연도,광역지역,종사자규모,에너지원,에너지구분,표준산업코드,표준산업코드명,소비(배출)량
253,E6F0F90929BC7DF8D6886775371E3083A06F45DB,2015,제주,5인 미만,경유,경유,29210,농업 및 임업용 기계 제조업,-
254,A2B037C2918C748807F34A90BC6444C9FE26DAF1,2015,제주,5인 ~ 9인,경유,경유,25111,"금속 문, 창, 셔터 및 관련제품 제조업",-
255,B9ED3464C65061A21AB2335EF2683FC897DDD918,2015,제주,10인 ~ 19인,B-B유(중유),B-B유(중유),10401,동물성 유지 제조업,-
256,9CD1A634C074C3BB3E1DE640EE89D0475CE45119,2015,제주,5인 미만,전력,전력,13402,직물 및 편조원단 염색 가공업,-
257,97C57BC3F6D0C7E520E77FB1502F013676B00AF8,2015,제주,5인 미만,전력,전력,28423,전시 및 광고용 조명장치 제조업,-
258,A59B276BE7DE75B8581F19D77F39867947F887F7,2015,제주,300인 ~ 499인,등유(구:실내등유),등유(구:실내등유),11202,생수 생산업,-
259,608F31FB6E8D68DE45F45BC54BD9C455B25989A3,2015,제주,20인 ~ 49인,경유,경유,23911,건설용 석제품 제조업,-
260,EF65F821C1E6B38C4A2698AD12A9959AEC1B954E,2015,제주,5인 미만,전력,전력,11201,얼음 제조업,-
261,8B16EAD3914FF9ED4A375674FA4C32DB4887362D,2015,제주,10인 ~ 19인,경유,경유,11201,얼음 제조업,-
262,216AA00E1CEA0D4F788D7101C391CE72BABA41BB,2015,제주,5인 미만,전력,전력,18111,경 인쇄업,-
263,410B74B0EB163E837856486E518BC7708107BD50,2015,제주,5인 미만,전력,전력,24199,그외 기타 1차 철강 제조업,-
264,7ECB3BB4AFC619650B11B83F2BF37FF7E1E45192,2015,제주,10인 ~ 19인,전력,전력,23322,레미콘 제조업,-
265,06B525D0884366CB7000A59FAB1144697288758F,2015,제주,5인 미만,전력,전력,32021,주방용 및 음식점용 목재가구 제조업,-
266,49A392CCD79B3EB709BB0D16A558F8C766FFB0AF,2015,제주,5인 미만,전력,전력,18111,경 인쇄업,-
267,42788111F25E9B8CB44FE6406B6E54F0EE4841CB,2015,제주,10인 ~ 19인,전력,전력,10212,수산동물 건조 및 염장품 제조업,-
268,D7240395508454A9650B0FDE332948CD67B0F3DF,2015,제주,20인 ~ 49인,경유,경유,10800,동물용 사료 및 조제식품 제조업,-
269,6008A0A05EB4F8EC6B5478494951FA8673BDC9C6,2015,제주,10인 ~ 19인,휘발유,휘발유,23322,레미콘 제조업,-
270,86E8443D62DCA5D5F30369059BA3B31896228512,2015,제주,10인 ~ 19인,경유,경유,23322,레미콘 제조업,-
271,A6BD44BD75C83A5179A95B6FF9F5515029189089,2015,제주,20인 ~ 49인,경유,경유,10794,두부 및 유사식품 제조업,-
272,F5227CCD8D96402FE6F389F7652A7CA9ED6A7C2F,2015,제주,10인 ~ 19인,전력,전력,23322,레미콘 제조업,-
273,F40C4E397D1235175ACC0D926E8D97BE1CE88502,2015,제주,5인 미만,전력,전력,28511,주방용 전기기기 제조업,-
274,3A38779E91C29BE6CD933E99F424513BB64F958E,2015,제주,20인 ~ 49인,경유,경유,22232,포장용 플라스틱 성형용기 제조업,-
275,EDD5DDDA423C1A6827D68360A21A80EAC0460EB4,2015,제주,5인 미만,도시가스(LPG),도시가스(LPG),23211,가정용 및 장식용 도자기 제조업,-
276,72DA7BD535FE81A0D9D3FE8C044E3C21E9094BDA,2015,제주,5인 ~ 9인,전력,전력,19229,기타 석유정제물 재처리업,-
